product_id,product_name,category,price
1,  wireless MOUSE  ,peripherals,29.99
2,  laptop PRO 15-inch  ,COMPUTERS,1299.99
3,USB-C Hub with HDMI,accessories,49.99
4,27-inch Monitor 4K,MONITORS,599.99
5,  mechanical keyboard RGB  ,Peripherals,149.99
6,Webcam HD 1080p,ACCESSORIES,89.99
7,  Gaming Headset Pro  ,peripherals,199.99
8,portable SSD 1TB,storage,179.99
9,  wireless Keyboard  ,PERIPHERALS,79.99
10,Gaming Mouse RGB,Peripherals,59.99
11,  USB-C Cable 6ft  ,accessories,19.99
12,  24-inch Monitor  ,monitors,399.99
13,laptop Stand,ACCESSORIES,39.99
14,  wireless Headphones  ,Peripherals,249.99
15,External Hard Drive 2TB,STORAGE,129.99
16,  Gaming Keyboard Pro  ,peripherals,179.99
17,Webcam 4K,accessories,149.99
18,  Mouse Pad Gaming  ,PERIPHERALS,29.99
19,USB Hub 7-Port,Accessories,34.99
20,  Laptop Bag Premium  ,accessories,69.99
21,wireless Charger,ACCESSORIES,39.99
22,  HDMI Cable 10ft  ,accessories,24.99
23,Gaming Chair Pro,furniture,399.99
24,  Desk Lamp LED  ,FURNITURE,49.99
25,Monitor Arm,furniture,89.99
26,  Cable Management Kit  ,Accessories,19.99
27,Laptop Cooling Pad,ACCESSORIES,34.99
28,  wireless Presenter  ,peripherals,44.99
29,USB Microphone,PERIPHERALS,129.99
30,  Bluetooth Speaker  ,accessories,79.99
